acc_no,acc_name,office_id,type_id,is_budget,active,currency_id
700556,Biaya Manasik Haji Plus,All,BY,true,true,IDR
700557,Biaya Perlengkapan Haji Plus,All,BY,false,true,IDR
700558,Biaya Tiket Haji Tahun Berjalan,All,BY,true,true,IDR
700559,Biaya Pembimbing Haji Plus,All,BY,true,true,IDR
700600,B. Operasional Sales & Marketing,All,BY,true,true,
700601,B. Operasional Umum,All,BY,true,true,
700602,B. Operasional Managementrue,All,BY,true,true,IDR
700603,Biaya Komisi Agent Umroh & Haji,All,BY,true,true,IDR
700700,B. Jasa Profesional,All,BY,true,true,
700701,B. Pelatihan Pegawai,All,BY,true,true,
700800,B. Promosi,All,BY,true,true,
700801,B. Iklan,All,BY,true,true,
700802,B. Jamuan Pelanggan,All,BY,true,true,
700803,B. Acara Kantor,All,BY,false,true,IDR
700900,B. Iuran Lingkungan Kantor,All,BY,true,true,
700901,B. Iuran Keanggotaan,All,BY,true,true,
700902,B. Sumbangan Sosial,All,BY,false,true,
700910,B. Perijinan Usaha & Operasional,All,BY,false,true,IDR
780000,B. Administrasi & Bunga Bank,All,BY,false,true,
780001,Biaya Oprls Kantor Perwakilan Jakarta,All,BY,true,true,IDR
780002,Biaya Up Grade Tiketrue,All,BY,true,true,IDR
780003,Biaya Refund Tiketrue,All,BY,false,true,IDR
780010,Biaya Pajak Tahunan/PPh Badan,All,BY,true,true,IDR
780011,Biaya Pajak Pertambahan Nilai (PPn),All,BY,true,true,IDR
780015,"Biaya Kecurian, Kehilangan, Kebakaran",All,BY,true,true,IDR
780016,Biaya Selisih Pembulatan,All,BY,false,true,IDR
780017,Biaya Selisih Kurs Valuta,All,BY,false,true,
780020,Biaya lain-lain,All,BY,true,true,IDR
800000,Penyusutan Gedung,All,DP,false,true,
800010,Penyusutan Kendaraan Bermotor,All,DP,false,true,
800020,Penyusutan Perlengkapan Kantor,All,DP,false,true,
800030,Penyusutan Peralatan Kantor,All,DP,false,true,
990000,Pendapatan Selisih Kurs,All,IS,false,true,IDR
990001,Selisih Pembulatan,All,IS,false,true,
990002,Selisih Kartu Kreditrue,All,IS,false,true,
990003,Pendapatan Bunga Bank atau Bagi Hasil,All,BY,true,true,IDR
990004,Pendapatan Penjualan Dokumen,All,IS,false,true,IDR
991000,Pendapatan Incentive Airline,All,IC,false,true,
991001,Pendapatan Potonga Refund Tiketrue,All,BY,false,true,IDR
991100,Pendapatan Incentive Hotel,All,IC,false,true,
991200,Pendapatan Incentive Tour,All,IC,false,true,
991300,Pendapatan Lain Lain,All,IC,false,true,
